right,possession,-999999.9523809524
dark,foulness,0
right,redress,0
rich,copious,0
adherent,socinian,0
piggy,sucking_pig,0
recognized,acknowledge,0
accustomed,habituate,0
ideational,conceptional,0
prehensile,covetous,0
right,center,0
rampant,rearing,0
pathless,untrod,0
thick,boneheaded,0
quiet,serenity,0
eruptive,igneous,0
right,falsify,0
chronic,inveterate,0
raised,curse,0
battered,baste,0
slow,irksome,0
close,distant,0
reconciling,patch_up,0
virulent,acid,0
spare,component,0
thick,dense,0.0
topknotted,tufted,0
pitchy,tarry,0
ill-treated,treat,0
outside,surface,0
progressive,present_progressive,0
dull,lively,0
sluggish,soggy,0
active,combat-ready,0
ideal,model,0
plumy,plumelike,0
going,compare,0
mounted,rerun,0
faithful,fold,0
dependant,qualified,0
retired,drop_out,0
outside,indoor,0
spangly,gemmed,0
concrete,reinforced_concrete,0
retired,move_back,0
wolfish,esurient,0
acid,acerb,0
soggy,sloppy,0
tarry,lounge,0
outside,away,0
ravening,seize,0
accommodating,provide,0
jewelled,jeweled,0
quick,fast,0
faithful,congregation,0
trackless,untracked,0
secret,confidence,0
frilled,ruffled,0
implicit,explicit,0
dead,slain,0
accommodating,meet,0
ample,meager,0
swinish,hoggish,0
feathered,join,0
ravening,devour,0
spartan,austere,0
habit-forming,addictive,0
shortened,abbreviated,0
greedy,avid,0
secret,trade_secret,0
quiet,comfort,0
straight,person,0
new,newly,0
real,veridical,0
plundering,aggression,0
adducent,abducent,0
abstinent,teetotaler,0
last,live,0
recognised,thank,0
relative,relation,0
inflamed,ignite,0
abused,attack,0
incompetent,bungler,0
tinseled,lend,0
undecorated,unadorned,0
extra,spare,0
adjective,descriptive_adjective,0
acknowledged,admit,0
essential,adjective,0
direct,aim,0
abridged,abridge,0
handy,william_christopher_handy,0
mistreated,mistreat,0
feathered,feathery,0
ruffled,cock,0
mounted,ride,0
alive,live,0
objective,object_lens,0
passive,voice,0
complementary,chromatic_color,0
drug-addicted,dependent,0
resistless,irresistible,0
indolent,faineant,0
icky,lousy,0
essential,need,0
raised,change,0
tessellated,tile,0
acidophilous,acidophilic,0
direct,indirect,0
pitchy,jet,0
open,undetermined,0
dull,dampen,0
given,breakfast,0
emerging,come_out,0
true,honest,0
adjective,relational_adjective,0
addable,addible,0
decorated,beautify,0
possessive,attributive_genitive,0
secret,perplexity,0
recognized,know,0
luxuriant,profuse,0
agile,nimble,0
going,go_around,0
abused,pervert,0
abducting,pull,0
sordid,flyblown,0
coherent,lucid,0
porcine,swinish,0
progressive,tense,0
recognised,know,0
right,proper,0
acid,para_aminobenzoic_acid,0
buttony,buttonlike,0
assimilating,ingest,0
activated,initiate,0
going,malfunction,0
resistless,unresisting,0
feathered,plumy,0
long,recollective,0
dull,sharpen,0
dynamic,incentive,0
retired,turn_out,0
alcoholic,nonalcoholic,0
thick,buddy-buddy,0
tarry,prowl,0
flat,box,0
gluey,gummy,0
given,take,0.0
notional,imaginary,0
acknowledged,mention,0
rank,ninth,0
capable,adequate_to,0
tight,leaky,0
gymnastic,acrobatic,0
existent,existing,0
cut,hit,0
rich,racy,0
true,admittedly,0
beady,spangled,0
living,animation,0
repellent,disgusting,0
indolent,slothful,0
dead,utter,0
thick,inside,0
nonresinous,nonresiny,0
untracked,untrodden,0
nonresinous,non-resiny,0
progressive,latitudinarian,0
hot,red-hot,0
basic,canonical,0
equal,rival,0
plain,fancy,0
ideal,idealistic,0
repellent,wicked,0
easy,well-fixed,0
reconciling,adjust,0
activated,reactivate,0
undermanned,short-handed,0
wrong,haywire,0
neat,refined,0
close,roll_up,0
alkalic,amphoteric,0
abstinent,nondrinker,0
wrong,sandbag,0
given,undernourish,0
abducting,seize,0
adducting,adduct,0
wanting,hanker,0
acidic,acidulent,0
sequined,spangly,0
receptive,unreceptive,0
decorated,hang,0
close,fill,0
acidic,acid,0
straight,crooked,0
wrong,correctly,0
gummed,put_on,0
accepted,adopt,0
edacious,voracious,0
acknowledged,make_no_bones_about,0
clean,be,0
abridged,shorten,0
alkaline-loving,acid-loving,0
uncut,mown,0
spectacled,monocled,0
dormant,sleeping,0
teeming,hum,0
new,freshly,0
crested,plumed,0
hooked,play,0
greedy,esurient,0
dull,desensitize,0
raised,conjure_up,0
coherent,logical,0
flat,level,0
actual,existent,0
basic,canonic,0
agglutinative,agglutinate,0
potential,electrical_phenomenon,0
plain,snowfield,0
grasping,intuit,0
alive,alert,0
dying,suffocate,0
direct,alternating,0
strung-out,drug-addicted,0
possible,possibility,0
procedural,substantive,0
adducting,abduct,0
wrong,injury,0
equal,compeer,0
hot,raging,0
trackless,tracked,0
teeming,stream,0
tarry,mess_about,0
additive,adjuvant,0
granted,forgive,0
adsorbent,adsorbent_material,0
right,in_good_order,0
clean,uninfected,0
adducting,adducent,0
recognised,prize,0
unacceptable,acceptable,0
clean,dirty,0
essential,desideratum,0
adorned,deck,0
rank,seventieth,0
dull,dim,0
rich,productive,0
shortened,truncated,0
objective,subjective,0
unrecognised,unrecognized,0
activist,black_muslim,0
nonadsorbent,nonadsorptive,0
unable,ineffectual,0
virulent,avirulent,0
bare,unfinished,0
scarce,barely,0
abducent,sixth_cranial_nerve,0
sporty,jazzy,0
get-at-able,getatable,0
accepted,take_on,0
deadly,baneful,0
battered,beat,0
live,bushwhack,0
addressed,keynote,0
adsorbate,sorbate,0
reconciling,make_peace,0
raised,enhance,0
overabundant,rife,0
incompetent,bungling,0
real,material,0
unreached,unapproachable,0
ill-treated,mistreated,0
spongelike,squishy,0
viscous,mucilaginous,0
hyperactive,overactive,0
tarry,leave,0
new,newfangled,0
dependent,independent,-999999.5
true,false,0
live,lively,0
quiet,quietness,0
dependant,hooked,0
dead,live,0
deskbound,desk-bound,0
hot,live,0
infinite,space,0
deficient,wanting,0
ruffled,riffle,0
adducting,adductive,0
dying,grave,0
recognized,tell_apart,0
active,stative,0
acid,lysergic_acid_diethylamide,0
disobliging,straiten,0
riotous,fast,0
neat,bully,0
accommodating,fit,0
adorned,fillet,0
incompetent,unequal_to,0
porcine,piggish,0
spry,quick,0
right,representation,0
acute,needlelike,0
rich,plentiful,0
slow,clog,0
ravening,rapacious,0
wrong,right,0
recognised,distinguish,0
abridged,cut,0
approachable,accessible,0
predatory,vulturine,0
granted,pension,0
complaisant,obliging,0
clean,vacuum,0
abducting,adduct,0
secret,unavowed,0
granted,allot,0
dying,change_state,0
undecorated,adorned,0
resistless,resistible,0
retired,displace,0
away,by,0
acidophilous,aciduric,0
slow,slow,0
granted,cede,0
clever,canny,0
disobliging,uncooperative,0
addicted,habituate,0
relative,person,0
pasty,pork_pie,0
extinct,active,0
gluey,sticky,0
rare,rarefied,0
covetous,jealous,0
going,run,0
recognised,appreciate,0
tasselled,tasseled,0
wrong,wrongfulness,0
equal,inadequate,0
ruffled,flick,0
abducting,abduct,0
sluggish,sulky,0
clean,remove,0
surgical,nonsurgical,0
proactive,retroactive,0
agglutinate,attach,0
quiet,ataraxia,0
busy,potter,0
alkalescent,alcalescent,0
come-at-able,get-at-able,0
absorbent,sponge,0
emerging,appear,0
ample,sizable,0
slow,slack,0
quick,area,0
active,chemical_agent,0
bare,circulate,0
tarry,be,0
potential,potential_difference,0
abused,shout,0
dead,alive,-999999.8
new,fresh,-999999.8181818182
athletic,gymnastic,0
retired,get_up,0
wolfish,wolflike,0
ascetical,austere,0
unacceptable,unaccepted,0
granted,accord,0
acquisitive,unacquisitive,0
effective,effectual,0
fringed,decorate,0
addicted,hook,0
close,trade,0
active,voice,0
plethoric,overabundant,0
incorrect,correct,0
retired,toy,0
extra,actor,0
plundering,sack,0
jeweled,bejewel,0
hooked,extort,0
idle,groundless,0
assimilating,adjust,0
tufted,caespitose,0
ruffled,fold,0
sluggish,inert,0
lush,exuberant,0
viscid,gummy,0
abridged,bowdlerize,0
handy,w._c._handy,0
agglutinate,haemagglutinate,0
viscous,pasty,0
living,sustenance,0
unsung,unknown,0
spongy,squishy,0
gummed,gum,0
outside,alfresco,0
dynamic,undynamic,0
going,taxi,0
adorned,grace,0
about,well-nigh,0
possible,impossible,0
inlaid,damascene,0
uncut,untrimmed,0
infinite,attribute,0
uncut,trimmed,0
straight,heterosexual_person,0
nonabsorptive,absorbent,0
incompetent,unskilled,0
open,move,0
easy,uneasy,0
new,old,-999999.9787234042
real,unreal,0
obliging,coerce,0
inlaid,hatch,0
unaccommodating,unobliging,0
unvalued,unsung,0
unadoptable,adoptable,0
voracious,esurient,0
spare,car_wheel,0
unabridged,abridged,0
equal,represent,0
passive,peaceful,0
extra,edition,0
spartan,greek,0
neat,dandy,0
granted,vouchsafe,0
rank,outrank,0
rife,prevailing,0
accustomed,teach,0
come-at-able,attainable,0
recognized,realize,0
mounted,escalade,0
predaceous,predatory,0
fringed,surround,0
hooked,lift,0
sequined,jeweled,0
long,foresightful,0
supine,resistless,0
trackless,untrodden,0
decorated,arrange,0
incorrect,right,0
abridged,reduce,0
granted,enfranchise,0
grasping,get_the_picture,0
outside,remote,0
acropetal,basipetal,0
rank,earldom,0
ravening,feed,0
basic,introductory,0
recognized,rubricate,0
pathless,trackless,0
going,be_born,0
accepted,get,0
faithful,social_group,0
dark,wedding_night,0
